subject_id,year_in_study,record_date,activity_level,activity,activity_other,frequency,pace,grade,surface_asphalt,surface_concrete,surface_dirt,surface_grass,surface_rocky,surface_sand,surface_varied,surface_other,surface_other_specify,total_time,total_time_units
grls007MPNZZ,3,2017-05,Moderate,Fetch outside - ground retrieval,,More than daily,Run,Steep,0,0,0,0,0,0,1,0,,4.0,Year
grls007MPNZZ,3,2017-05,Moderate,"On leash (obedience training, walking or running)",,Daily,Brisk walk,Moderate,0,1,0,0,0,0,0,0,,3.0,Year
grls007MPNZZ,3,2017-05,Moderate,"Off leash (obedience training, walking or running)",,Monthly,Run,Steep,0,0,0,0,0,0,1,0,,1.0,Year
grls007MPNZZ,4,2018-05,Very active,Fetch outside - ground retrieval,,Daily,Run,Steep,0,0,1,0,0,0,1,0,,5.0,Year
grls007MPNZZ,4,2018-05,Very active,"Off leash (obedience training, walking or running)",,Daily,Jog,Steep,0,0,0,0,0,0,1,0,,5.0,Year
grls007MPNZZ,4,2018-05,Very active,"On leash (obedience training, walking or running)",,Daily,Brisk walk,Flat,0,1,0,0,0,0,0,0,,5.0,Year
grls007MPNZZ,5,2019-05,Very active,Fetch outside - ground retrieval,,Daily,Run,Moderate,0,0,1,0,0,0,0,0,,6.0,Year
grls007MPNZZ,5,2019-05,Very active,"Off leash (obedience training, walking or running)",,Daily,Jog,Steep,0,0,1,0,0,0,0,1,woods,3.0,Year
grls007MPNZZ,5,2019-05,Very active,"On leash (obedience training, walking or running)",,Weekly,Brisk walk,Moderate,0,1,0,0,0,0,0,0,,6.0,Year
grls007MPNZZ,5,2019-05,Very active,Other,"active outdoor play, active play with other dogs",Daily,Jog,Moderate,0,0,1,0,0,0,0,0,,5.0,Year
grls007MPNZZ,6,2020-06,Moderate,Fetch outside - ground retrieval,,Daily,Run,Steep,0,0,0,0,0,0,1,0,,7.0,Year
grls007MPNZZ,6,2020-06,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Jog,Moderate,0,0,0,0,0,0,1,0,,5.0,Year
grls007MPNZZ,6,2020-06,Moderate,"On leash (obedience training, walking or running)",,Weekly,Brisk walk,Moderate,0,1,0,0,0,0,0,0,,7.0,Year
grls007MPNZZ,7,2021-05,Very active,Fetch outside - ground retrieval,,Daily,Jog,Steep,0,0,1,0,0,0,0,0,,8,Year
grls007MPNZZ,7,2021-05,Very active,"Off leash (obedience training, walking or running)",,Weekly,Run,Steep,0,0,1,0,0,0,0,0,,5,Year
grls007MPNZZ,8,2022-05,Very active,"Off leash (obedience training, walking or running)",,Daily,Run,Steep,0,0,1,0,0,0,0,0,,8,Year
grls01C2L8RR,3,2017-07,Moderate,Active indoor play,,More than daily,Jog,Flat,0,0,0,0,0,0,0,1,rug and wooden floor,12.0,Month
grls01C2L8RR,3,2017-07,Moderate,"Off leash (obedience training, walking or running)",,More than daily,Jog,Moderate,0,0,0,1,0,0,0,0,,12.0,Month
grls01C2L8RR,4,2018-08,Moderate,Active indoor play,,Daily,Slow walk,Flat,0,0,0,0,0,0,0,1,hardwood/carpet,12.0,Month
grls01C2L8RR,4,2018-08,Moderate,Fetch outside - air retrieval,,Weekly,Brisk walk,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls01C2L8RR,4,2018-08,Moderate,Fetch outside - ground retrieval,,Weekly,Jog,Flat,0,0,0,1,0,0,0,0,,4.0,Year
grls01C2L8RR,4,2018-08,Moderate,Fetch outside - ground retrieval,,Weekly,Run,Flat,0,0,0,0,0,1,0,0,,1.0,Year
grls01C2L8RR,4,2018-08,Moderate,"Off leash (obedience training, walking or running)",,Weekly,Brisk walk,Flat,0,0,0,0,0,1,0,0,,1.0,Year
grls01C2L8RR,4,2018-08,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,1,1,0,1,0,1,0,0,,4.0,Year
grls01C2L8RR,5,2019-07,Moderate,"On leash (obedience training, walking or running)",,Daily,Average walk,Flat,0,1,0,1,0,0,0,0,,5.0,Year
grls01C2L8RR,6,2020-08,Little,"On leash (obedience training, walking or running)",,More than daily,Slow walk,Flat,1,0,0,1,0,1,1,0,,3,Year
grls01C2L8RR,7,2021-08,Little,"On leash (obedience training, walking or running)",,More than daily,Average walk,Flat,0,1,0,1,0,0,0,0,,4,Year
grls01C2L8RR,7,2021-08,Little,"Off leash (obedience training, walking or running)",,Rarely,Jog,Moderate,0,0,0,1,0,0,0,0,,1,Year
