subject_id,year_in_study,record_date,activity_level,walk_frequency,walk_duration,walk_pace,walk_reason_bathroom,walk_reason_general_enjoyment,walk_reason_training,walk_reason_other_specify,walk_without_leash,aerobic_duration,aerobic_pace,aerobic_frequency,fetch_games_frequency
grls007MPNZZ,0,2014-05,Very active,More than once a day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls007MPNZZ,1,2015-05,Very active,More than once a day,10-30 minutes,Brisk,0,0,0,all of the above,0,,,,Frequently
grls007MPNZZ,2,2016-05,Moderate,More than once a day,30-60 minutes,Brisk,1,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls00NB23WW,0,2014-01,Very active,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Occasionally
grls00NB23WW,1,2015-01,Very active,Less than once/month,30-60 minutes,Brisk,0,0,0,"high energy dog, to tired molly out",0,,,,Occasionally
grls00NB23WW,2,2016-01,Very active,Less than once/month,10-30 minutes,Average,0,1,0,,0,,,,Frequently
grls01C2L8RR,0,2014-08,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls01C2L8RR,1,2015-08,Moderate,Less than once/week,10-30 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls01C2L8RR,2,2016-08,Very active,Less than once/week,10-30 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls01LNL888,0,2013-05,Very active,Never,,,0,0,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls01LNL888,1,2014-09,Very active,Less than once/week,10-30 minutes,Slow,0,0,1,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),More than once a day,Frequently
grls01LNL888,2,2015-10,Very active,Never,,,0,0,0,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls01RDAKNN,0,2014-11,Moderate,More than once a day,30-60 minutes,Average,0,1,0,,0,,,,Frequently
grls01RDAKNN,1,2016-01,Moderate,More than once a day,10-30 minutes,Average,1,1,0,,0,,,,Occasionally
grls01RDAKNN,2,2017-01,Moderate,More than once a day,30-60 minutes,Average,1,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls020IW1ZZ,0,2015-01,Very active,Once or twice/week,10-30 minutes,Run,0,0,1,,1,10-30 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls020IW1ZZ,1,2016-01,Very active,Once/day,10-30 minutes,Jog,0,1,0,,1,10-30 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls020IW1ZZ,2,2017-01,Very active,Less than once/week,30-60 minutes,Jog,0,1,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Frequently
grls02RRJK88,0,2013-05,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Frequently
grls02RRJK88,1,2014-10,Very active,Once or twice/week,10-30 minutes,Brisk,0,1,0,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once or twice/week,Frequently
grls02RRJK88,2,2015-07,Very active,Once or twice/week,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls02VDCV99,0,2012-09,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls02VDCV99,1,2014-01,Moderate,Once or twice/week,10-30 minutes,Run,0,1,0,,0,,,,Frequently
grls02VDCV99,2,2015-01,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,0,,,,Frequently
grls03L3L1FF,0,2013-10,Moderate,Once/day,30-60 minutes,Average,0,0,1,,1,10-30 minutes,Bursts of exercise less than 30% of the time,Once/day,Occasionally
grls03L3L1FF,1,2014-12,Moderate,Once/day,30-60 minutes,Brisk,0,1,0,,0,,,,Frequently
grls03MTKHLL,0,2014-02,Very active,More than once a day,Greater than 60 minutes,Average,0,1,1,,0,,,,Frequently
grls03MTKHLL,1,2015-04,Very active,More than once a day,Greater than 60 minutes,Brisk,1,1,1,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),More than once a day,Frequently
grls03MTKHLL,2,2016-03,Moderate,More than once a day,Greater than 60 minutes,Average,0,1,0,,1,30-60 minutes,Engages in moderate exercise (greater than 30% of the time but less than 60% of the time),Once/day,Frequently
grls03UREW44,0,2014-04,Moderate,Once or twice/week,10-30 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls03UREW44,1,2015-06,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls03UREW44,2,2016-05,Very active,Once/day,10-30 minutes,Brisk,0,1,0,,0,,,,Occasionally
grls0449M0EE,0,2013-11,Very active,Never,,,0,0,0,,1,30-60 minutes,Engages in strenuous exercise most of the time (greater than 60%),Once/day,Occasionally
